,artist,track,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,94,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
1,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,93,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
2,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,100,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
3,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,93,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,4
4,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,94,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
5,Lil Tecca,Ransom,6EOKwHETwSkZ9gW2b6ASE0,93,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
6,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
7,Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,88,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,193027,4
8,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,88,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4
9,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,88,0.931,0.502,0,-9.311,0,0.353,0.0389,0.0,0.0912,0.712,94.999,176640,4
10,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,94,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
11,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,96,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
12,Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,94,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,186107,4
13,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,96,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
14,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,90,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
15,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,90,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4
16,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,89,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,200107,4
17,Young Thug,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,87,0.974,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,149040,4
18,Post Malone,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,91,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,150867,4
19,Polo G,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,87,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4
20,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,89,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,4
21,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,91,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
22,Ed Sheeran,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,94,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
23,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,86,0.894,0.511,2,-4.768,1,0.42,0.0251,0.0,0.14,0.568,120.08,176632,4
24,Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,91,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,4
25,Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,88,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,4
26,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,93,0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51e-06,0.0898,0.317,102.914,190107,4
27,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,87,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427,4
28,Quality Control,Baby,2nKYHpmwjLaEOXS3o7QMiz,86,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4
29,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,87,0.883,0.525,2,-8.054,0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100,4
30,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,86,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.762,175.041,148759,4
31,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,86,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
32,Lil Tjay,F.N,0UPBidRYcgJ2mjZlk08V8x,86,0.562,0.502,6,-10.269,0,0.255,0.323,0.0,0.0757,0.322,120.104,224000,1
33,Ali Gatie,It's You,6moU77g9RQyMzHNuKEaQKq,92,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4
34,Miley Cyrus,Slide Away,44ADyYoY5liaRa3EOAl4uf,90,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654,4
35,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,86,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
36,Normani,Motivation,0rIAC4PXANcKmitJfoqmVm,90,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4
37,Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,88,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4
38,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,94,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
39,Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,89,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,181824,4
40,Post Malone,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,88,0.405,0.646,4,-3.206,0,0.0476,0.331,0.0,0.103,0.17,130.218,156267,4
41,Lil Uzi Vert,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976,4
42,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,97,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
43,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,87,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
44,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,95,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
45,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4
46,Lauv,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,91,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,198973,4
47,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,91,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
48,The Chainsmokers,Takeaway,6wo37KVqFJhtuxPTpLCcfe,91,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.357,85.332,209893,1
49,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,89,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
50,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,89,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
51,Halsey,Graveyard,6V9fHiv84WlVTg7CSnIVY2,88,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4
52,Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,84,0.899,0.811,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.587,105.038,126446,4
53,Bazzi,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,89,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,165714,4
54,Chance the Rapper,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,83,0.897,0.522,2,-7.578,1,0.374,0.0016,0.0,0.0554,0.623,149.986,225924,4
55,Lil Tecca,Did It Again,6alCTRgBPoeAFi2N4il9Q4,84,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,116240,4
56,Post Malone,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,86,0.614,0.66,0,-2.848,1,0.0441,0.19,0.0,0.211,0.452,145.01,245267,4
57,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,90,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
58,Tones and I,Dance Monkey,5ZULALImTm80tzUbYQYM9d,96,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
59,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,86,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4
60,Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,84,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4
61,Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,82,0.921,0.635,1,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,192540,4
62,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,94,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
63,DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,83,0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.394,92.506,157693,4
64,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,84,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
65,Post Malone,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,85,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,218320,5
66,NAV,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,83,0.901,0.676,2,-7.033,1,0.251,0.0646,0.0,0.0863,0.452,85.018,148278,4
67,Mustard,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,84,0.682,0.559,0,-5.545,1,0.127,0.174,0.0,0.344,0.137,202.015,192471,4
68,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,82,0.642,0.647,7,-6.312,0,0.428,0.517,0.0,0.0649,0.664,120.749,217867,4
69,Lil Tecca,Shots,5xjei7JnROsAzLY2a7RdZU,84,0.829,0.582,7,-5.721,0,0.0415,0.525,0.0,0.0759,0.51,108.028,109373,4
70,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,94,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
71,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,82,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.678,132.906,141827,4
72,Khalid,Right Back (feat. A Boogie Wit Da Hoodie),6PYnUsNEpYC7A4BS2sjw3L,86,0.786,0.428,5,-10.011,0,0.31,0.0933,1.1e-06,0.156,0.556,97.001,255000,4
73,Diplo,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,83,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004,169227,4
74,Mustard,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,82,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
75,Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,92,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,4
76,Lil Nas X,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,84,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,158707,4
77,Taylor Swift,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,84,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4
78,Lil Tecca,Ransom (with Juice WRLD) - Remix,0DZJACISivjWjscIp5Kg1q,83,0.493,0.665,2,-6.427,0,0.366,0.0107,0.0,0.0762,0.385,179.982,171227,4
79,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,89,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,190800,4
80,DaBaby,INTRO,05WepN8vrMLJG5r8XRdLeL,80,0.862,0.685,0,-7.699,0,0.242,0.0342,0.0,0.204,0.672,100.024,172800,4
81,Lizzo,Juice,0k664IuFwVP557Gnx7RhIl,84,0.767,0.889,7,-2.988,1,0.0963,0.00611,0.0,0.402,0.843,119.93,195145,4
82,Blanco Brown,The Git Up,5dW1VZPcFqB4n0P08rGDgm,86,0.847,0.678,9,-8.635,1,0.109,0.0669,0.0,0.274,0.811,97.984,200594,4
83,Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,85,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4
84,Taylor Swift,I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd,84,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,4
85,Ambjaay,Uno,3AEgic4yp82NxMWUjHtxnO,82,0.978,0.477,8,-8.159,1,0.155,0.000143,0.0,0.133,0.196,110.002,109091,4
86,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,87,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
87,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,88,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
88,Post Malone,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,84,0.632,0.732,6,-3.498,1,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173,4
89,Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,86,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,186223,4
90,Bazzi,Paradise,0Rx0DJI556Ix5gBny6EWmn,84,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4
91,Gunna,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,81,0.848,0.649,2,-6.083,1,0.315,0.232,0.0,0.101,0.629,118.04,181948,4
92,A$AP Rocky,Babushka Boi,643PW82aBMUa1FiWi5VQY7,84,0.897,0.743,10,-5.446,0,0.222,0.304,4.44e-05,0.137,0.905,134.979,187105,4
93,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,87,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,4
94,Lil Tecca,Love Me,3TLwAp3uX1nKsVxrDhNPOL,84,0.714,0.532,11,-6.837,0,0.271,0.675,0.0,0.138,0.831,204.096,117013,4
95,Katy Perry,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,89,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523,4
96,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,88,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
97,YG,Go Loko,3SZqA7rQvROJsCbUu2v0xa,84,0.88,0.67,2,-5.188,1,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,299227,4
98,Taylor Swift,Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,84,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,4
99,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,87,0.795,0.496,0,-5.883,1,0.0722,0.108,0.0,0.0645,0.874,94.01,183000,4
100,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,86,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4
101,Sam Feldt,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,88,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444,4
102,Luke Combs,Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,80,0.54,0.863,1,-4.483,1,0.0481,0.0138,0.0,0.0871,0.64,77.0,186800,4
103,Lil Skies,i,4ZT9FnbFu1PaBfV3itxiqT,81,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,181891,4
104,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,92,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.8,92.016,266087,4
105,Taylor Swift,Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,83,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4
106,Taylor Swift,London Boy,1LLXZFeAHK9R4xUramtUKw,83,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,4
107,5 Seconds of Summer,Teeth,1JRK7srBWUtAW7dPabKBwJ,87,0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,204887,4
108,YK Osiris,Worth It,4XiGKQqbmnMVxDzUj6j3f2,81,0.764,0.528,5,-4.082,0,0.0588,0.468,0.0,0.0811,0.422,123.936,189253,5
109,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,86,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440,4
110,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,87,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040,4
111,Sech,Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,92,0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773,4
112,Post Malone,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m,82,0.746,0.559,5,-4.008,1,0.0316,0.703,0.0,0.148,0.368,117.943,200680,4
113,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,85,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4
114,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,85,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
115,Maren Morris,The Bones,3npzogdOEiVsieXmmhBepL,82,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,197293,4
116,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,80,0.691,0.64,0,-6.441,1,0.369,0.511,0.0,0.409,0.163,138.672,202040,4
117,Taylor Swift,Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,82,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071,198533,4
118,ROSALÍA,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,93,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,201040,4
119,benny blanco,Graduation (with Juice WRLD),6cjSh516BbrNUs213jDAGm,83,0.731,0.65,0,-5.286,1,0.271,0.107,0.0,0.124,0.605,154.968,177847,4
120,Camila Cabello,Shameless,3UYiU57SMiAS5LqolhHJw1,86,0.377,0.651,4,-5.437,0,0.0588,0.0197,5.31e-05,0.174,0.0851,129.698,219742,4
121,Taylor Swift,The Archer,3pHkh7d0lzM2AldUtz2x37,83,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,4
122,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,87,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
123,The Chainsmokers,Call You Mine,1SNiXDwSilLujcYdvfqVpT,86,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
124,Post Malone,Allergic,1YscJ7yVTlFxW3eF6pv5ba,82,0.665,0.741,0,-3.694,1,0.0787,0.154,3.02e-05,0.345,0.57,144.968,156893,4
125,NLE Choppa,Shotta Flow,4dAMdQ6g4kGmnc1MDHsg77,80,0.888,0.43,9,-6.728,1,0.588,0.0786,1.58e-06,0.132,0.45,120.088,160013,4
126,YNW Melly,Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,81,0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,230400,4
127,Blake Shelton,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,79,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,205107,4
128,J Balvin,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,91,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,4
129,Post Malone,Staring At The Sun (feat. SZA),5KE9b4x7Zj2A8XtbkqhqTe,82,0.724,0.772,6,-4.389,0,0.184,0.248,0.0,0.308,0.347,95.074,168280,4
130,Blueface,Daddy (feat. Rich The Kid),4hanO6Du5J7QEguNHYZHmw,82,0.869,0.59,11,-8.214,1,0.257,0.07,0.0,0.236,0.479,107.934,151147,4
131,Big Sean,Bezerk (feat. A$AP Ferg & Hit-Boy),2B9wgj9XzbJZLty03PRbVo,81,0.684,0.687,2,-4.673,1,0.2,0.0164,0.0,0.253,0.265,184.026,151067,4
132,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,86,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,162583,4
133,Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,85,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4
134,Billie Eilish,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,88,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840,4
135,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,92,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,4
136,Swae Lee,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,84,0.915,0.588,7,-6.302,0,0.0677,0.0824,0.000169,0.104,0.329,123.936,218710,4
137,Taylor Swift,Afterglow,1SymEzIT3H8UZfibCs3TYi,82,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011,223293,4
138,Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,86,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,4
139,Luke Bryan,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,79,0.739,0.682,2,-3.728,1,0.205,0.129,0.0,0.328,0.634,131.983,199382,4
140,Offset,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,82,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,205803,4
141,A Boogie Wit da Hoodie,Mood Swings,2xE16muNCmhZwSOv3i1d1H,80,0.943,0.664,4,-5.952,0,0.106,0.235,5.84e-06,0.112,0.93,120.051,156893,4
142,NLE Choppa,Shotta Flow 3,0OsYwz3SCLD98IvWfdLeRQ,79,0.722,0.716,8,-5.258,0,0.377,0.00818,0.0,0.892,0.799,128.0,181238,4
143,Marshmello,Here With Me,5icOoE6VgqFKohjWWNp0Ac,86,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347,4
144,Lewis Capaldi,Bruises,4Of7rzpRpV1mWRbhp5rAqG,85,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,4
145,MAX,Love Me Less (feat. Quinn XCII),2tOOcDDYkh0PSjr6GwPEAJ,80,0.732,0.856,11,-2.2,0,0.0929,0.0828,0.0,0.323,0.771,145.034,177670,4
146,YoungBoy Never Broke Again,Self Control,6kyT7ubem08Egg9a8f77OL,78,0.82,0.697,6,-7.296,0,0.378,0.0349,0.0,0.197,0.629,154.992,185866,4
147,Luh Kel,Wrong,3EludUFeAoJAwSixWGG5Wg,82,0.745,0.728,0,-3.39,1,0.0423,0.352,0.0,0.228,0.39,120.099,130876,4
148,Taylor Swift,False God,5hQSXkFgbxjZo9uCwd11so,81,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4
149,Drake,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,82,0.854,0.554,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069,163121,4
150,Polo G,Through Da Storm,3NqCEpT8xsHdzpiRlM1kpS,79,0.71,0.49,1,-9.832,1,0.246,0.128,0.0,0.0942,0.621,74.351,195587,4
