,artist,track,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7147,Colt Ford,Lucky Scars,3AD2TDHyzsXIk4DH3YuYiy,40,0.524,0.906,8,-5.252,1,0.063,0.149,5.89e-05,0.0915,0.529,83.985,215285,4
7148,Vic Mensa,Summer's Over,7C0o3HS1kkrtFNH437Et5o,37,0.551,0.625,11,-6.048,0,0.226,0.714,0.0,0.148,0.491,68.73,176825,4
7149,NicFunri,What Is Left,2locpjJp3TpzlDNJfXShjY,60,0.607,0.48,7,-19.237,1,0.0641,0.493,0.00042,0.387,0.468,152.85,82730,4
7150,QuaorLonk,Believe Me Again,2wcsghxz6SDYinLiG0cJIM,59,0.654,0.667,5,-13.314,1,0.0767,0.0718,2.14e-06,0.85,0.797,92.552,87902,4
7151,Alan Silvestri,The Real Hero,3KHrXuByzDnDOaVR15rZH7,58,0.184,0.0565,7,-18.019,1,0.0411,0.809,0.902,0.302,0.037,130.317,354827,1
7152,Nilüfer Yanya,Baby Blu,57BSFXytUc9trbqP9e3qrF,50,0.778,0.774,9,-7.402,0,0.0457,0.052,0.00118,0.109,0.582,124.942,281171,4
7153,Witt Lowry,CRASH,0GGqzORvR7pt0IibyV5Bfv,54,0.561,0.602,11,-7.455,0,0.287,0.287,0.0,0.256,0.637,153.795,260298,4
7154,George Henrique & Rodrigo,Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019,33g4LmRrWddOvMLnynSktj,79,0.871,0.494,11,-9.911,0,0.0816,0.622,0.0,0.0998,0.713,117.947,145198,4
7155,Dirty Heads,Cloudlifter,4UejABP6pgQG4egKzaMYA0,50,0.41,0.682,10,-7.477,1,0.0819,0.122,1.42e-05,0.346,0.234,100.341,167147,3
7156,IDK,I Do Me . . . You Do You,33vNP0my9ObFUJx9HCDNY1,53,0.433,0.426,5,-9.405,1,0.288,0.913,0.0,0.364,0.564,80.348,93405,4
7157,Jon Bellion,Heart Is Full - Recorded At Spotify Studios NYC,6DvsjPkNcB4QoezDPtxsAB,53,0.6,0.35,5,-8.974,0,0.0565,0.694,0.0,0.115,0.53,88.08,218089,4
7158,Big Thief,Not,7GQzohVmwbc3WdyqWqp9r9,54,0.422,0.788,11,-6.57,1,0.0556,0.101,0.00282,0.16,0.544,140.423,367093,4
7159,Flatland Cavalry,Old School,2unWNHbsSKVbZxS6ghPTY2,50,0.4,0.499,0,-7.849,1,0.0291,0.132,0.0,0.113,0.564,169.918,199480,4
7160,Clara Mae,Loved You Once,3LbwR2WcofkDBp4LSgGJh1,59,0.444,0.436,4,-5.988,1,0.042,0.655,0.0,0.157,0.307,77.724,148604,3
7161,Kupla,Coastal Town,4yFKdrYav9741hVAiPicHQ,56,0.74,0.33,4,-14.381,0,0.11,0.532,0.94,0.1,0.214,137.899,155355,4
7162,NU'EST,BET BET,7bbt0ctE5rmFVPjdQuj8af,60,0.719,0.863,11,-4.955,0,0.0592,0.163,0.0,0.063,0.851,136.996,200947,4
7163,Lenny code fiction,Make My Story,3c39MOrdL5EOaDqWbC1Hfu,56,0.531,0.942,8,-3.835,1,0.0555,0.00179,0.0,0.398,0.823,132.029,267587,4
7164,I'm With Her,Call My Name - Acoustic,3cTbjXWKsCm1hg3TrUlFXC,57,0.57,0.186,8,-10.603,1,0.0318,0.93,0.0,0.115,0.319,76.45,197458,4
7165,M83,Lune de fiel,6MAO7LGpxRCxngipyz4MC3,44,0.298,0.846,5,-7.485,0,0.0362,0.299,0.103,0.0745,0.125,117.22,223806,4
7166,Quinn XCII,When I Die,2riezZC8Rzk86sqZPZ8qXv,52,0.817,0.355,9,-7.625,1,0.0459,0.307,1.29e-05,0.0981,0.551,76.983,188907,4
7167,Logic,Supermarket,5cJBMRBaLTxrT02SSaoPJO,53,0.682,0.574,8,-5.92,1,0.029,0.0396,5.3e-05,0.16,0.366,89.991,183000,4
7168,King Von,No Flaws,5bxx3Iz8jfEoGXYJbQH8ZJ,48,0.946,0.575,11,-9.007,0,0.0928,0.193,0.0,0.0841,0.725,100.025,188400,4
